C1_0h  C1_24h_In/C1_24h_Un C1_48h_In/C1_48h_Un	C2_0h  C2_24h_In/C2_24h_Un C2_48h_In/C2_48h_Un	WT_0h  WT_24h_In/WT_24h_Un WT_48h_In/WT_48h_Un	Gene_Name                 Gene_Info 
 9.67                 1.47                1.00	21.33                 1.07                1.02	15.67                 0.97                2.03	TcIL3000.A.H_000596400.1  hypothetical protein
 0.00                 1.29                0.67	 2.00                 1.67                0.86	 0.00                 2.80                2.20	TcIL3000.A.H_000596500.1  hypothetical protein
 0.00                 0.33                1.00	 0.67                 0.60                0.33	 0.67                 0.60                3.00	TcIL3000.A.H_000596600.1  hypothetical protein
 0.00                 1.00                1.00	 0.00                 1.00                0.60	 0.00                 1.33                1.00	TcIL3000.A.H_000596700.1  hypothetical protein, conserved
11.33                 1.61                0.78	10.67                 0.40                0.92	10.33                 1.08                0.87	TcIL3000.A.H_000596800.1  mitogen-activated protein kinase 3, putative
12.33                 1.56                1.07	 7.00                 2.06                1.27	 9.00                 0.91                1.92	TcIL3000.A.H_000596900.1  DNA repair and recombination helicase protein PIF5
 3.67                 1.00                0.53	 6.00                 0.75                0.45	 3.33                 1.39                1.61	TcIL3000.A.H_000597000.1  Zinc finger, C3HC4 type (RING finger), putative
 5.33                 0.85                2.12	 5.33                 0.79                1.15	 5.67                 0.54                1.07	TcIL3000.A.H_000597100.1  ATP-dependent chaperone, putative
 6.67                 1.42                0.52	 6.67                 0.52                0.75	 7.33                 2.20                0.65	TcIL3000.A.H_000597200.1  hypothetical protein, conserved
 8.33                 1.11                1.72	 4.00                 0.76                1.92	 4.67                 1.19                0.95	TcIL3000.A.H_000597300.1  AKAP7 2prime5prime RNA ligase-like domain containing protein, putative
 5.33                 0.84                1.10	12.00                 1.00                1.60	 3.33                 0.52                2.27	TcIL3000.A.H_000597400.1  folate transporter, putative
11.33                 1.28                1.48	 9.00                 0.84                1.42	 8.33                 0.49                1.31	TcIL3000.A.H_000597500.1  folate transporter, putative
22.33                 1.16                0.91	20.67                 1.15                0.55	19.67                 0.74                1.56	TcIL3000.A.H_000597600.1  JAB1/Mov34/MPN/PAD-1 ubiquitin protease, putative
 7.00                 1.00                1.33	11.00                 0.93                0.97	10.00                 1.65                2.41	TcIL3000.A.H_000597700.1  folate transporter, putative
13.67                 1.24                0.57	22.67                 0.89                1.76	26.33                 0.93                1.26	TcIL3000.A.H_000597800.1  protein transport protein SEC23
 5.33                 1.00                0.85	 2.67                 0.58                0.68	 4.00                 0.96                1.85	TcIL3000.A.H_000597900.1  kinetoplastid kinetochore protein 4
 6.00                 0.59                0.93	 6.33                 0.73                0.76	 8.67                 1.04                1.69	TcIL3000.A.H_000598000.1  isocitrate dehydrogenase, putative
 2.67                 1.22                2.00	 7.33                 0.83                0.83	 5.33                 1.17                1.39	TcIL3000.A.H_000598100.1  hypothetical protein
 1.00                 1.60                0.78	 1.67                 0.43                0.58	 2.00                 1.33                1.60	TcIL3000.A.H_000598200.1  hypothetical protein
 1.33                 1.50                1.67	 0.67                 1.00                1.20	 1.33                 1.00                0.87	TcIL3000.A.H_000598300.1  hypothetical protein
 0.00                 0.67                1.00	 0.67                 1.17                1.40	 1.00                 1.56                0.43	TcIL3000.A.H_000598400.1  hypothetical protein, conserved
 5.33                 1.09                1.14	 4.33                 0.88                1.06	13.00                 1.48                2.06	TcIL3000.A.H_000598500.1  exonuclease, putative
11.00                 1.13                0.87	14.33                 1.34                1.21	15.00                 1.62                1.45	TcIL3000.A.H_000598600.1  hypothetical protein
 6.00                 0.96                1.56	11.33                 1.05                1.21	 7.00                 1.10                1.42	TcIL3000.A.H_000598700.1  hypothetical protein, conserved
 2.67                 0.91                0.82	 2.67                 2.40                0.40	 3.33                 0.48                1.60	TcIL3000.A.H_000598800.1  pterin 4 alpha carbinolamine dehydratase, putative
27.00                 0.92                0.87	35.33                 0.80                1.28	25.00                 0.75                1.37	TcIL3000.A.H_000598900.1  Nucleolar protein 56, putative
 3.00                 1.93                0.89	10.33                 0.73                0.69	 5.33                 1.55                1.73	TcIL3000.A.H_000599000.1  Mitogen-activated protein kinase 10, putative
 4.00                 0.87                1.06	 8.00                 1.00                0.60	 1.33                 1.23                1.92	TcIL3000.A.H_000599100.1  MORN repeat, putative
 5.67                 1.31                0.91	 5.67                 2.00                1.04	 8.33                 1.80                2.20	TcIL3000.A.H_000599200.1  paraflagellar rod component, putative
10.33                 1.29                1.10	18.33                 0.64                1.36	12.33                 1.81                1.14	TcIL3000.A.H_000599300.1  nucleoside phosphatase, putative
 9.33                 1.35                1.43	 8.00                 0.70                0.65	 6.00                 1.06                1.22	TcIL3000.A.H_000599400.1  hypothetical protein, conserved
 2.67                 0.95                1.21	 4.67                 0.75                0.95	 3.33                 1.13                1.92	TcIL3000.A.H_000599500.1  hypothetical protein, conserved
 7.67                 0.70                0.87	 7.33                 1.07                0.78	 8.00                 2.06                2.50	TcIL3000.A.H_000599600.1  ATP-dependent DEAD/H RNA helicase, putative
